Title,Pieces,Minifigs,Price
Liebherr R 9800,4108.0,,449.99
Land Rover Defender,2573.0,,199.99
Elsa's Ice Palace,701.0,7,69.99
City Shaper Challenge Kit,2238.0,1,
BOOMTOWN BUILD Inspire Set,739.0,,
BOOMTOWN BUILD Discovery Set,78.0,4,
Ski Resort,806.0,11,77.97
Jet Patrol,54.0,2,9.74
Sky Police Drone Chase,192.0,3,19.49
Parachute Arrest,218.0,4,29.23
Diamond Heist,400.0,4,49.99
Air Base,529.0,6,73.1
Barbecue Burn Out,64.0,2,9.74
Dock Side Fire,97.0,2,14.61
Burger Bar Fire Rescue,327.0,3,29.99
Fire Station,509.0,4,59.99
Downtown Fire Brigade,943.0,7,99.99
Fire Plane,363.0,3,38.98
Desert Rally Racer,75.0,1,9.99
Construction Loader,88.0,1,9.99
Garbage Truck,90.0,2,19.99
Diving Yacht,148.0,2,19.99
Snow Groomer,197.0,2,19.49
Harvester Transport,358.0,3,29.99
Satellite Service Mission,84.0,1,9.74
Rover Testing Drive,202.0,2,19.49
Mars Research Shuttle,273.0,2,29.99
Lunar Space Station,412.0,5,48.73
Deep Space Rocket and Launch Control,837.0,7,99.99
Rocket Assembly & Transport,1055.0,8,129.99
People Pack - Space Research and Development,209.0,15,38.98
Fire Chief Response Truck,201.0,2,19.49
Garage Centre,234.0,4,38.98
Donut Shop Opening,790.0,10,79.99
People Pack - Fun Fair,183.0,14,38.98
LEGO City Advent Calendar,234.0,8,19.99
Straight & T-Junction ,2.0,,9.74
Curves & Crossroad,2.0,,9.74
Police Patrol Car,92.0,1,9.99
Kayak Adventure,84.0,1,9.99
Bonus/Value pack,218.0,,
Bonus/Value pack,125.0,,
2-in-1 Value Pack: Star-Lord & Gamora,249.0,,
Super Pack 3-in-1,,,
Super Pack 3-in-1,,,
Super Pack 3-in-1,,,
J.B.'s Ghost Lab,174.0,3,19.99
Wrecked Shrimp Boat,310.0,4,29.23
Graveyard Mystery,335.0,4,29.23
El Fuego's Stunt Truck,428.0,4,38.98
Shrimp Shack Attack,579.0,5,48.73
Paranormal Intercept Bus 3000,689.0,5,58.48
Ghost Train Express,698.0,6,77.97
